Club,Country,Competition,Competition_Type,Appearances,Minutes_Played,Goals
Ajax,Netherlands,Eredivisie,League,74,4747,35
Ajax,Netherlands,Johan Cruijff Schaal,Domestic Cup,2,91,0
Ajax,Netherlands,Amstel Cup,Domestic Cup,6,313,4
Ajax,Netherlands,UEFA Champions League,European Cup,19,1466,6
Ajax,Netherlands,UCL Qualifying,European Cup,4,214,1
Ajax,Netherlands,UEFA Cup,European Cup,4,272,2
Juventus,Italy,Serie A,League,70,5159,23
Juventus,Italy,Coppa Italia,Domestic Cup,2,54,0
Juventus,Italy,Supercoppa Italiana,Domestic Cup,1,120,0
Juventus,Italy,UEFA Champions League,European Cup,19,1534,3
Internazionale,Italy,Serie A,League,88,7253,57
Internazionale,Italy,Coppa Italia,Domestic Cup,4,300,3
Internazionale,Italy,Supercoppa Italiana,Domestic Cup,3,330,0
Internazionale,Italy,UEFA Champions League,European Cup,22,1829,6
FC Barcelona,Spain,La Liga,League,29,2030,16
FC Barcelona,Spain,Copa del Ray,Domestic Cup,2,129,1
FC Barcelona,Spain,Supercopa,Domestic Cup,2,122,1
FC Barcelona,Spain,UEFA Champions League,European Cup,10,762,4
FC Barcelona,Spain,Club World Cup,International Club Cup,2,210,0
A.C. Milan,Italy,Serie A,League,61,5345,42
A.C. Milan,Italy,Coppa Italia,Domestic Cup,7,394,4
A.C. Milan,Italy,Supercoppa Italiana,Domestic Cup,1,90,1
A.C. Milan,Italy,UEFA Champions League,European Cup,16,1372,9
Paris Saint-Germain,France,Ligue 1,League,122,10301,113
Paris Saint-Germain,France,Coupe de France,Domestic Cup,13,1008,16
Paris Saint-Germain,France,Coupe de la Ligue,Domestic Cup,9,693,5
Paris Saint-Germain,France,Trophée des Champions,Domestic Cup,3,270,2
Paris Saint-Germain,France,UEFA Champions League,European Cup,33,2818,20
Manchester United,England,Premier League,League,33,2539,17
Manchester United,England,FA Cup,Domestic Cup,1,28,1
Manchester United,England,EFL Cup,Domestic Cup,6,464,5
Manchester United,England,Community Shield,Domestic Cup,1,90,1
Manchester United,England,UEFA Champions League,European Cup,1,16,0
Manchester United,England,Europa League,European Cup,11,897,5
LA Galaxy,U.S.A.,MLS,League,56,4753,52
LA Galaxy,U.S.A.,MLS Cup Playoffs,Domestic Cup,2,180,1
